


============================== EXP at 2025-05-23 09:51:39 ==============================
dev | avg_loss: 3.02392578125 | {'exact_match': 0.0, 'rougeL': 6.2681}
train | epoch   0 | Iter:      4/   352 | global iter:      4/   352 | loss: 2.1247 | ds_loss: 2.1253 | lr: 9.9968e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.394
train | epoch   0 | Iter:      8/   352 | global iter:      8/   352 | loss: 1.9451 | ds_loss: 1.9457 | lr: 9.9873e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.346
train | epoch   0 | Iter:     12/   352 | global iter:     12/   352 | loss: 2.0188 | ds_loss: 2.0194 | lr: 9.9714e-05 | scale:  2048.0000 | micro time: 0.345 | step time: 0.345
train | epoch   0 | Iter:     16/   352 | global iter:     16/   352 | loss: 1.7213 | ds_loss: 1.7218 | lr: 9.9492e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.346
train | epoch   0 | Iter:     20/   352 | global iter:     20/   352 | loss: 1.8396 | ds_loss: 1.8404 | lr: 9.9206e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.346
train | epoch   0 | Iter:     24/   352 | global iter:     24/   352 | loss: 1.9538 | ds_loss: 1.9545 | lr: 9.8858e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.347
train | epoch   0 | Iter:     28/   352 | global iter:     28/   352 | loss: 1.6888 | ds_loss: 1.6898 | lr: 9.8448e-05 | scale:  2048.0000 | micro time: 0.345 | step time: 0.347
train | epoch   0 | Iter:     32/   352 | global iter:     32/   352 | loss: 1.8139 | ds_loss: 1.8149 | lr: 9.7977e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.346
train | epoch   0 | Iter:     36/   352 | global iter:     36/   352 | loss: 1.8529 | ds_loss: 1.8534 | lr: 9.7444e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     40/   352 | global iter:     40/   352 | loss: 2.0086 | ds_loss: 2.0095 | lr: 9.6851e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   0 | Iter:     44/   352 | global iter:     44/   352 | loss: 1.7763 | ds_loss: 1.7770 | lr: 9.6198e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
dev | avg_loss: 2.5966796875 | {'exact_match': 0.6, 'rougeL': 16.0002}
train | epoch   1 | Iter:     48/   352 | global iter:     48/   352 | loss: 1.5785 | ds_loss: 1.5790 | lr: 9.5486e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.329
train | epoch   1 | Iter:     52/   352 | global iter:     52/   352 | loss: 1.5915 | ds_loss: 1.5925 | lr: 9.4717e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
