

============================== EXP at 2025-05-23 09:55:40 ==============================
dev | avg_loss: 2.7998046875 | {'exact_match': 1.8, 'rougeL': 20.4254}
train | epoch   0 | Iter:      4/   712 | global iter:      4/   712 | loss: 3.7388 | ds_loss: 4.0782 | lr: 9.9992e-05 | scale:  2048.0000 | micro time: 0.344 | step time: 0.390
train | epoch   0 | Iter:      8/   712 | global iter:      8/   712 | loss: 3.6197 | ds_loss: 3.9500 | lr: 9.9969e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.348
train | epoch   0 | Iter:     12/   712 | global iter:     12/   712 | loss: 3.4806 | ds_loss: 3.7952 | lr: 9.9930e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.347
train | epoch   0 | Iter:     16/   712 | global iter:     16/   712 | loss: 3.5254 | ds_loss: 3.8428 | lr: 9.9876e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     20/   712 | global iter:     20/   712 | loss: 3.6906 | ds_loss: 4.0233 | lr: 9.9806e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     24/   712 | global iter:     24/   712 | loss: 3.3733 | ds_loss: 3.6806 | lr: 9.9720e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   0 | Iter:     28/   712 | global iter:     28/   712 | loss: 3.6108 | ds_loss: 3.9352 | lr: 9.9619e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   0 | Iter:     32/   712 | global iter:     32/   712 | loss: 3.5943 | ds_loss: 3.9169 | lr: 9.9503e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     36/   712 | global iter:     36/   712 | loss: 3.5160 | ds_loss: 3.8353 | lr: 9.9371e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   0 | Iter:     40/   712 | global iter:     40/   712 | loss: 3.6595 | ds_loss: 3.9887 | lr: 9.9224e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.349
train | epoch   0 | Iter:     44/   712 | global iter:     44/   712 | loss: 3.3248 | ds_loss: 3.6252 | lr: 9.9062e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
