

============================== EXP at 2025-05-23 10:00:57 ==============================
dev | avg_loss: 3.107421875 | {'exact_match': 2.8, 'rougeL': 24.3689}
train | epoch   0 | Iter:      4/  1064 | global iter:      4/  1064 | loss: 6.5668 | ds_loss: 7.0104 | lr: 9.9997e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.394
train | epoch   0 | Iter:      8/  1064 | global iter:      8/  1064 | loss: 6.8904 | ds_loss: 7.3579 | lr: 9.9986e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     12/  1064 | global iter:     12/  1064 | loss: 6.7469 | ds_loss: 7.1923 | lr: 9.9969e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.347
train | epoch   0 | Iter:     16/  1064 | global iter:     16/  1064 | loss: 6.4292 | ds_loss: 6.8614 | lr: 9.9944e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     20/  1064 | global iter:     20/  1064 | loss: 6.8158 | ds_loss: 7.2719 | lr: 9.9913e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   0 | Iter:     24/  1064 | global iter:     24/  1064 | loss: 6.6741 | ds_loss: 7.1186 | lr: 9.9875e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.347
train | epoch   0 | Iter:     28/  1064 | global iter:     28/  1064 | loss: 6.5047 | ds_loss: 6.9394 | lr: 9.9829e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     32/  1064 | global iter:     32/  1064 | loss: 5.9924 | ds_loss: 6.3944 | lr: 9.9777e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     36/  1064 | global iter:     36/  1064 | loss: 6.2349 | ds_loss: 6.6483 | lr: 9.9718e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     40/  1064 | global iter:     40/  1064 | loss: 6.3787 | ds_loss: 6.8104 | lr: 9.9652e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.347
train | epoch   0 | Iter:     44/  1064 | global iter:     44/  1064 | loss: 6.4521 | ds_loss: 6.8766 | lr: 9.9579e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
train | epoch   0 | Iter:     48/  1064 | global iter:     48/  1064 | loss: 6.6651 | ds_loss: 7.1145 | lr: 9.9499e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     52/  1064 | global iter:     52/  1064 | loss: 6.2836 | ds_loss: 6.7055 | lr: 9.9412e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     56/  1064 | global iter:     56/  1064 | loss: 6.3743 | ds_loss: 6.8037 | lr: 9.9319e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     60/  1064 | global iter:     60/  1064 | loss: 6.7720 | ds_loss: 7.2211 | lr: 9.9218e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.347
train | epoch   0 | Iter:     64/  1064 | global iter:     64/  1064 | loss: 5.9752 | ds_loss: 6.3735 | lr: 9.9111e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     68/  1064 | global iter:     68/  1064 | loss: 6.2911 | ds_loss: 6.7110 | lr: 9.8997e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
