


============================== EXP at 2025-05-23 10:08:19 ==============================
dev | avg_loss: 3.568359375 | {'exact_match': 3.6, 'rougeL': 26.0375}
train | epoch   0 | Iter:      4/  1424 | global iter:      4/  1424 | loss: 13.1929 | ds_loss: 13.1929 | lr: 9.9998e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.390
train | epoch   0 | Iter:      8/  1424 | global iter:      8/  1424 | loss: 12.4023 | ds_loss: 12.4023 | lr: 9.9992e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.347
train | epoch   0 | Iter:     12/  1424 | global iter:     12/  1424 | loss: 11.3247 | ds_loss: 11.3247 | lr: 9.9982e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   0 | Iter:     16/  1424 | global iter:     16/  1424 | loss: 13.1407 | ds_loss: 13.1407 | lr: 9.9969e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.347
train | epoch   0 | Iter:     20/  1424 | global iter:     20/  1424 | loss: 12.1079 | ds_loss: 12.1079 | lr: 9.9951e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.347
train | epoch   0 | Iter:     24/  1424 | global iter:     24/  1424 | loss: 13.4477 | ds_loss: 13.4477 | lr: 9.9930e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.347
train | epoch   0 | Iter:     28/  1424 | global iter:     28/  1424 | loss: 12.6121 | ds_loss: 12.6121 | lr: 9.9905e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     32/  1424 | global iter:     32/  1424 | loss: 12.6721 | ds_loss: 12.6721 | lr: 9.9876e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     36/  1424 | global iter:     36/  1424 | loss: 12.7995 | ds_loss: 12.7995 | lr: 9.9843e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   0 | Iter:     40/  1424 | global iter:     40/  1424 | loss: 12.6110 | ds_loss: 12.6110 | lr: 9.9806e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.347
train | epoch   0 | Iter:     44/  1424 | global iter:     44/  1424 | loss: 12.2468 | ds_loss: 12.2468 | lr: 9.9765e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.347
train | epoch   0 | Iter:     48/  1424 | global iter:     48/  1424 | loss: 13.3765 | ds_loss: 13.3765 | lr: 9.9720e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.347
